ror,lr,lroe,coki,qs,sir
008dmsy67,0,0,1,0,0
008e3hf02,1,1,1,1,1
008ej3804,0,0,1,0,0
008fyn775,1,1,1,1,0
008g9ns82,0,0,1,1,0
008h1f725,0,0,1,0,0
008hr1h38,0,0,1,0,0
008j47576,0,0,1,0,0
008jf2g02,0,0,1,0,0
008jssb69,0,0,1,0,0
008kngs41,0,0,1,0,0
008kvxw43,0,0,1,0,0
008m8sh03,0,0,1,0,1
008mems69,0,0,1,0,0
008ms5s18,0,0,1,0,1
008n7pv89,1,1,1,1,0
008nk3d11,0,0,1,0,0
008p1v134,0,0,1,0,0
008p6rr25,0,0,1,0,0
008pwh115,0,0,1,0,0
008pxsf13,0,0,1,0,0
008qvpg94,0,0,1,0,0
008r9vm50,0,0,1,0,0
008rmbt77,1,1,1,1,0
008rrb089,0,0,1,0,0
008rwr521,0,0,1,0,0
008rx8a22,0,0,1,0,0
008s83205,1,1,1,1,0
008stv805,0,0,1,1,0
008syg534,0,0,1,0,0
008t11f85,0,0,1,0,0
008t1c044,0,0,1,0,0
008w1vb37,0,0,1,0,1
008w8py05,0,0,1,0,0
008wkze26,0,0,1,0,0
008wtrs16,0,0,1,0,0
008wzdf98,0,0,1,0,0
008wzyk06,0,0,1,0,0
008x57b05,1,1,1,1,1
008xxew50,1,1,1,1,1
008zh9d08,0,0,1,0,0
008zr3m11,0,0,1,0,0
008zs3103,1,1,1,1,1
008ztmr80,0,0,1,0,0
009026n40,0,0,1,1,1
0090dta57,0,0,1,0,0
0090kax79,0,0,1,0,0
0090zs177,1,1,1,1,1
0091hm651,0,0,1,0,0
0091vmj44,1,1,1,1,1
0091wgk69,0,0,1,0,0
0092t1z08,0,0,1,0,0
009323b35,0,0,1,0,0
00936xm65,0,0,1,0,0
0093a8w51,0,0,1,0,1
0093rkw25,0,0,1,0,0
0093src13,0,0,1,0,0
0093wrd09,0,0,1,0,1
00944ve71,1,1,1,1,1
0095a7z52,0,0,1,0,0
0095r2297,0,0,1,0,0
0095v1k44,0,0,1,0,0
0095xcq10,0,0,1,1,1
00965ax52,0,0,1,1,1
00965bg92,1,1,1,0,1
0096c7651,0,0,1,0,1
0096z2k33,0,0,1,0,0
0097mbe50,0,0,1,0,0
00986na66,0,0,1,0,0
00987cb86,1,1,1,1,0
00990e921,0,0,1,0,0
00996c044,0,0,1,0,0
00997qd48,0,0,1,0,0
0099j7t54,0,0,1,0,1
0099kc363,0,0,1,0,0
0099s0h07,0,0,1,0,0
009afhj46,0,0,1,0,0
009apaj69,0,0,1,0,0
009avj582,1,1,1,1,1
009axq942,0,0,1,0,0
009b5t134,0,0,1,0,0
009be3496,0,0,1,0,0
009bjed14,0,0,1,0,0
009c3s802,0,0,1,0,0
009cc1d57,0,0,1,0,0
009drq556,0,0,1,0,0
009dxjw45,0,0,1,0,0
009e5cd49,0,0,1,0,1
009e9eq52,0,0,1,0,0
