ror,region,lr,lroe,coki,qs,sir
001qjw859,Europe,0,0,1,0,0
001qkb777,Americas,0,0,1,0,0
001qnfn06,Europe,0,0,1,0,0
001qst305,Americas,0,0,1,0,0
001r3g324,Africa,0,0,1,0,0
001r73k91,Asia,0,0,1,0,0
001rahr89,Asia,0,0,1,0,1
001rdaz60,Europe,0,0,1,0,0
001rdde17,Europe,0,0,1,0,0
001rebv08,Asia,0,0,1,0,0
001rfde81,Asia,0,0,1,0,0
001rkbe13,Asia,0,0,1,0,0
001rmv394,Europe,0,0,1,0,0
001rzdq81,Americas,0,0,1,0,0
001s04270,Asia,0,0,1,0,0
001s05659,Europe,0,0,1,0,0
001s1be73,Asia,0,0,1,0,0
001s4dh65,Americas,0,0,1,0,0
001s4x714,Europe,0,0,1,0,0
001s88f97,Europe,0,0,1,0,0
001sezm06,Americas,0,0,1,0,0
001shd435,Asia,0,0,1,0,0
001shqf12,Americas,0,0,1,0,0
001skmk61,Americas,0,0,1,0,1
001smqx66,Americas,0,0,1,0,0
001snd369,Americas,0,0,1,0,0
001synm23,Europe,0,0,1,0,0
001t02e86,Europe,0,0,1,0,0
001t9rv66,Europe,0,0,1,0,0
001tdwk28,Asia,0,0,1,0,0
001tk4253,Asia,0,0,1,0,0
001tmjg57,Americas,1,1,1,1,1
001tmkc70,Europe,0,0,1,0,0
001tx6p24,Asia,0,0,1,0,0
001v19997,Asia,0,0,1,0,0
001v2ey71,Asia,0,0,1,0,0
001vaag74,Americas,0,0,1,0,0
001vjqx13,Europe,0,0,1,0,0
001vq2a15,Oceania,0,0,1,0,0
001vw6n49,Europe,0,0,1,0,0
001w4ps18,Europe,0,0,1,0,0
001w50q34,Europe,0,0,1,0,0
001w7jn25,Europe,0,0,1,0,0
001wjeh94,Asia,0,0,1,0,0
001wpa366,Europe,0,0,1,0,0
001wq6b70,Americas,0,0,1,0,0
001ws2a36,Asia,1,1,1,0,0
001wtjx27,Asia,0,0,1,0,0
001x3nr42,Europe,0,0,1,0,0
001x4vz59,Europe,0,0,1,0,0
001x5ea44,Americas,0,0,1,0,0
001x5fb42,Europe,0,0,1,0,0
001x6y413,Asia,0,0,1,0,0
001xgg719,Americas,0,0,1,0,0
001xhss06,Americas,0,0,1,0,0
